"Predicted Value","Depth","Variable Label","Link Width","Node ID","Node ID","Proportion Correctly Classified","Parent ID","Predicted Value","Split","Split Variable","Weight","Count","Average (validation)","Count (validation)"
"535.872","0","Nota da prova de Ciências da Natureza","10","0","0","535,8720","","535,8720","","NOTA_CIENCIAS_DA_NATUREZA","37.399","37399","535.2319","5343"
"473.1279","1","Nota da prova de Ciências da Natureza","3,7958","1","1","473,1279","0","473,1279","< 510","NOTA_CIENCIAS_DA_NATUREZA","14.196","14196","472.1179","2018"
"574.2599","1","Nota da prova de Ciências da Natureza","6,2042","2","2","574,2599","0","574,2599",">= 510 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","23.203","23203","573.5369","3325"
"423.3192","2","Nota da prova de Ciências da Natureza","1,1968","3","3","423,3192","1","423,3192","< 446.9 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","4.476","4476","423.9347","675"
"496.0645","2","Nota da prova de Ciências da Natureza","2,5990","4","4","496,0645","1","496,0645",">= 446.9","NOTA_CIENCIAS_DA_NATUREZA","9.720","9720","496.3351","1343"
"555.6734","2","Nota da prova de Ciências da Natureza","4,2017","5","5","555,6734","2","555,6734","< 573.1 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","15.714","15714","554.8549","2291"
"613.2595","2","Nota da prova de Ciências da Natureza","2,0025","6","6","613,2595","2","613,2595",">= 573.1","NOTA_CIENCIAS_DA_NATUREZA","7.489","7489","614.93","1034"
"392.948","3","Nota da prova de Ciências da Natureza","0,3995","7","7","392,9480","3","392,9480","< 406 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","1.494","1494","395.4908","240"
"438.5353","3","Nota da prova de Ciências da Natureza","0,7973","8","8","438,5353","3","438,5353",">= 406","NOTA_CIENCIAS_DA_NATUREZA","2.982","2982","439.6278","435"
"478.8044","3","Nota da prova de Ciências da Natureza","1,2016","9","9","478,8044","4","478,8044","< 481.7 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","4.494","4494","479.4192","616"
"510.907","3","Nota da prova de Ciências da Natureza","1,3974","10","10","510,9070","4","510,9070",">= 481.7","NOTA_CIENCIAS_DA_NATUREZA","5.226","5226","510.6684","727"
"541.6495","3","Nota da prova de Ciências da Natureza","2,2022","11","11","541,6495","5","541,6495","< 544.5 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","8.236","8236","541.4079","1232"
"571.1188","3","Nota da prova de Ciências da Natureza","1,9995","12","12","571,1188","5","571,1188",">= 544.5","NOTA_CIENCIAS_DA_NATUREZA","7.478","7478","570.4987","1059"
"598.1939","3","Nota da prova de Ciências da Natureza","1,4024","13","13","598,1939","6","598,1939","< 608.706 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","5.245","5245","599.5491","715"
